Ti,Nb,Al,Zr,Mo,Sn,Cr,stratify,Mo_Equiavalent,Mo_Equiavalent2,Atomic_Number,e/a,Average_Atom_Radius,Delta,Electronegativity,Bo,Md,Cold_Rolling_Rate,Root_Cold_Rolling_Rate,Homonization_Temperature,Homonization_Time,Solution_Treatment_Temperature,Solution_Treatment_Time,Beta_phase,"alpha""_phase",Elongation,UTS,References
83.68,0,9.96,0,6.36,0,0,c,0.07,0.04415,22.3756,4.0276,1.711136,1.051353209,1.586404,2.7711084,2.3914892,95,9.746794345,1273,7200,1273,1800,1,0,7,722,
87.68,0,5.56,0,6.77,0,0,c,0.1,0.0859,22.8558,4.0802,1.737406,0.803995623,1.58602,2.7885227,2.4006093,95,9.746794345,1273,7200,1273,1800,1,0,8,704,
85.94,0,7.35,0,6.71,0,0,c,0.09,0.0712,22.6805,4.0607,1.726764,0.914491734,1.586747,2.7815643,2.3962349,95,9.746794345,1273,7200,1273,1800,1,0,7,766,
84.23,0,9.11,0,6.66,0,0,c,0.08,0.0565,22.5121,4.0421,1.716486,1.010041648,1.587669,2.7750214,2.3921307,95,9.746794345,1273,7200,1273,1800,1,0,8,748,
83.38,0,9.98,0,6.63,0,0,c,0.075,0.04915,22.4256,4.0324,1.711222,1.053661355,1.587938,2.7714937,2.3898829,95,9.746794345,1273,7200,1273,1800,1,0,6,604,
82.54,0,10.85,0,6.61,0,0,c,0.07,0.0418,22.3455,4.0237,1.706324,1.095058582,1.588577,2.7685513,2.3880759,95,9.746794345,1273,7200,1273,1800,1,0,3,649,
81.94,0,10.9,0,7.15,0,0,c,0.08,0.0518,22.4468,4.0336,1.706614,1.099934647,1.591806,2.7695645,2.3850833,95,9.746794345,1273,7200,1273,1800,1,0,4,597,
70,10,0,20,0,0,0,d,0.358245577,0.183093101,27.5,4.1,1.842,0.689190057,1.504,2.8801,2.5421,80,8.94427191,1173,7200,873,1800,0,1,13.1,542,"Kim, J. Il, et al. 2005. Materials Science and Engineering: A 403.1-2: 334-339."
70,10,0,20,0,0,0,d,0.358245577,0.183093101,27.5,4.1,1.842,0.689190057,1.504,2.8801,2.5421,80,8.94427191,1173,7200,973,1800,0,1,11,480,"Cui, Yan, et al. 2010. Materials Science and Engineering: A 527.3: 652-656."
70,10,0,20,0,0,0,d,0.358245577,0.183093101,27.5,4.1,1.842,0.689190057,1.504,2.8801,2.5421,80,8.94427191,1173,7200,1073,1800,0,1,10.5,530,"Zhang, et al. 2013. Materials Science and Engineering: A 563: 78-85."
76,22,0,2,0,0,0,d,0.1670423,0.112213676,26.54,4.22,1.8144,0.536869767,1.549,2.8639,2.45168,95,9.746794345,nd,nd,1173,1800,1,1,38,460,
74,22,0,4,0,0,0,d,0.195266714,0.124988041,26.9,4.22,1.8204,0.565565394,1.5448,2.86982,2.46142,95,9.746794345,nd,nd,1172,1800,1,0,41,470,
72,22,0,6,0,0,0,d,0.222680405,0.137395472,27.26,4.22,1.8264,0.590694166,1.5406,2.87574,2.47116,95,9.746794345,nd,nd,1173,1800,1,0,28.5,455,
70,22,0,8,0,0,0,d,0.249317809,0.149451556,27.62,4.22,1.8324,0.612734738,1.5364,2.88166,2.4809,95,9.746794345,nd,nd,1173,1800,1,0,27.5,480,
74,26,0,0,0,0,0,d,0.158125556,0.11352604,26.94,4.26,1.8172,0.531034194,1.5556,2.87034,2.44102,95,9.746794345,1173,7200,1173,1800,1,0,19,470,
74,24,0,2,0,0,0,d,0.176685643,0.119253803,26.92,4.24,1.8188,0.548672668,1.5502,2.87008,2.45122,95,9.746794345,1173,7200,1173,1800,1,0,30,440,
74,20,0,6,0,0,0,d,0.213868803,0.130728765,26.88,4.2,1.822,0.581778266,1.5394,2.86956,2.47162,95,9.746794345,1173,7200,1173,1800,1,0,39,470,
74,18,0,8,0,0,0,d,0.232491948,0.136475987,26.86,4.18,1.8236,0.597367539,1.534,2.8693,2.48182,95,9.746794345,1173,7200,1173,1800,1,1,37,550,
74,16,0,10,0,0,0,d,0.251136183,0.142229718,26.84,4.16,1.8252,0.612381715,1.5286,2.86904,2.49202,95,9.746794345,1173,7200,1173,1800,0,1,22,520,
90,0,0,0,0,8,2,e,0.034179859,0.079793411,24.28,4.04,1.7332,0.488543938,1.576,2.74922,2.39986,93.72826087,9.681335697,1273,7200,1223,1800,0,1,12.4,767,Hosoda-Tahara-lab(Titech)
91,0,0,0,0,6,3,e,0.052106698,0.089187724,23.74,4.06,1.7384,0.430449873,1.5688,2.75925,2.39711,93.72826087,9.681335697,1273,7200,1223,1800,0,1,11.7,772,"Wadood, et al. 2013. Materials transactions, 54(4), pp.566-573."
90,0,0,0,0,7,3,e,0.051663945,0.093793288,24.02,4.06,1.7353,0.461624029,1.573,2.75418,2.39364,93.72826087,9.681335697,1273,7200,1223,1800,1,1,12,725,
89,0,0,0,0,8,3,e,0.051228651,0.098321245,24.3,4.06,1.7322,0.490371192,1.5772,2.74911,2.39017,93.72826087,9.681335697,1273,7200,1223,1800,1,0,12,781,
89.5,0,0,0,0,7,3.5,e,0.060250225,0.10312648,24.03,4.07,1.7348,0.462657491,1.5736,2.754125,2.388795,93.72826087,9.681335697,1273,7200,1223,1800,1,0,12.1,847,
90,0,0,0,0,6,4,e,0.069418943,0.108010091,23.76,4.08,1.7374,0.43283832,1.57,2.75914,2.38742,93.72826087,9.681335697,1273,7200,1223,1800,1,0,15.1,771,
89,0,0,0,0,7,4,e,0.068829563,0.112452126,24.04,4.08,1.7343,0.463671874,1.5742,2.75407,2.38395,93.72826087,9.681335697,1273,7200,1223,1800,1,0,7.2,734,
91,0,0,0,0,3,6,e,0.106695262,0.132779817,22.96,4.12,1.7447,0.326699206,1.5598,2.77413,2.37845,96,9.797958971,1273,7200,1273,1800,1,0,41,586,
90,0,0,0,0,3,7,e,0.124373883,0.152013675,22.98,4.14,1.7437,0.33030965,1.561,2.77402,2.36876,96,9.797958971,1273,7200,1273,1800,1,0,15,640,
89,0,0,0,0,3,8,e,0.14202301,0.171215444,23,4.16,1.7427,0.333790472,1.5622,2.77391,2.35907,96,9.797958971,1273,7200,1273,1800,1,0,11,620,
88,0,0,0,0,3,9,e,0.159642716,0.190385205,23.02,4.18,1.7417,0.337145373,1.5634,2.7738,2.34938,96,9.797958971,1273,7200,1273,1800,1,0,15,620,
90,6.5,0,0,0,8.5,0,f,0.04141082,0.070632549,25.615,4.065,1.74795,0.60462197,1.5796,2.76699,2.41601,90,9.486832981,1273,7200,1173,1800,0,1,11,616,Hosoda-Tahara-lab(Titech)
91,7,0,0,0,8.5,0,f,0.043868738,0.071729949,25.71,4.07,1.74905,0.611429226,1.5799,2.768535,2.415895,90,9.486832981,1273,7200,1173,1800,1,1,9.7,690,
90,7.5,0,0,0,8.5,0,f,0.047013717,0.073997726,25.805,4.075,1.75015,0.618080552,1.5802,2.77008,2.41578,90,9.486832981,1273,7200,1223,1800,1,1,10.2,645,
89,8,0,0,0,8.5,0,f,0.050160235,0.076266612,25.9,4.08,1.75125,0.624581217,1.5805,2.771625,2.415665,90,9.486832981,1273,7200,1223,1800,1,1,9.9,664,
94.5,0,0,0,5.5,0,0,g,0.104485825,0.104485825,23.1,4.11,1.7677,0.180557995,1.5741,2.805015,2.42027,95,9.746794345,1273,7200,1273,1800,1,0,30.8,817,Hosoda-Tahara-lab(Titech)
88.5,0,0,6,5.5,0,0,g,0.202419967,0.147802567,24.18,4.11,1.7857,0.427129995,1.5615,2.822775,2.44949,95,9.746794345,1273,7200,1273,1800,1,0,30.1,792,
84.5,0,4,6,5.5,0,0,g,0.185010567,0.119817564,23.82,4.07,1.7625,0.800940044,1.5643,2.808215,2.43961,95,9.746794345,1273,7200,1273,1800,1,0,12.4,940,
80.5,0,8,6,5.5,0,0,g,0.167035702,0.090923596,23.46,4.03,1.7393,1.043828265,1.5671,2.793655,2.42973,95,9.746794345,1273,7200,1273,1800,1,0,9.1,849,
74.5,0,8,12,5.5,0,0,g,0.26027275,0.134147323,24.54,4.03,1.7573,1.120658185,1.5545,2.811415,2.45895,95,9.746794345,1273,7200,1273,1800,1,0,3.2,561,
68.5,0,8,18,5.5,0,0,g,0.344946054,0.173400988,25.62,4.03,1.7753,1.180964614,1.5419,2.829175,2.48817,95,9.746794345,1273,7200,1273,1800,1,0,1.4,301,
62.5,0,8,24,5.5,0,0,g,0.42218367,0.209207544,26.7,4.03,1.7933,1.227816114,1.5293,2.846935,2.51739,95,9.746794345,1273,7200,1273,1800,1,0,3,523,
